c1,c2,,v
Alegorías y Emblemas,Académicas y seculares,6.04%,45
Alegorías y Emblemas,Alegorías al corazón,8.99%,67
Alegorías y Emblemas,Alegorías bíblicas,1.07%,8
Alegorías y Emblemas,Alegorías Clásicas,0.67%,5
Alegorías y Emblemas,Alegorías Cristo Adulto,8.59%,64
Alegorías y Emblemas,Alegorías Cristo niño,4.97%,37
Alegorías y Emblemas,Alegorías de la Virgen,6.17%,46
Alegorías y Emblemas,Alegorías de la Virgen inmaculada,6.71%,50
Alegorías y Emblemas,Alegorías Eucarísticas,1.21%,9
Alegorías y Emblemas,Alegorías imperiales y políticas,1.34%,10
Alegorías y Emblemas,Alegorías Órdenes y vida religiosa,4.97%,37
Alegorías y Emblemas,Emblemas,10.34%,77
Alegorías y Emblemas,"Estaciones, continentes y países",6.31%,47
Alegorías y Emblemas,Iglesia y vida cristiana,1.07%,8
Alegorías y Emblemas,Letanías,12.08%,90
Alegorías y Emblemas,Naves,1.48%,11
Alegorías y Emblemas,Sibilas,5.64%,42
Alegorías y Emblemas,Triunfos,4.70%,35
Alegorías y Emblemas,Triunfos de la Virgen,0.67%,5
Alegorías y Emblemas,Virtudes,3.22%,24
Alegorías y Emblemas,Zodiaco,3.76%,28
