c1,c2,,,v,
Advocaciones,Almudena,Mariología,0.18%,5,
Advocaciones,Antigua,Mariología,0.77%,22,
Advocaciones,Aranzazu,Mariología,0.11%,3,
Advocaciones,Aránzazu,Mariología,0.07%,2,
Advocaciones,Belén,Mariología,0.70%,20,
Advocaciones,Buen Consejo,Mariología,0.21%,6,
Advocaciones,Candelaria,Mariología,1.34%,38,
Advocaciones,Caridad,Mariología,0.11%,3,
Advocaciones,Carmen,Mariología,6.44%,183,
Advocaciones,Cayma,Mariología,0.11%,3,
Advocaciones,Cerro,Mariología,0.18%,5,
Advocaciones,Chiquinquirá,Mariología,3.48%,99,
Advocaciones,Cocharcas,Mariología,0.49%,14,
Advocaciones,Consolación,Mariología,0.11%,3,
Advocaciones,Copacabana,Mariología,0.32%,9,
Advocaciones,Cueva,Mariología,0.21%,6,
Advocaciones,Desamparados,Mariología,0.14%,4,
Advocaciones,Dolorosa,Mariología,10.27%,292,
Advocaciones,Escalera,Mariología,0.14%,4,
Advocaciones,Expectación encarnación,Mariología,0.84%,24,
Advocaciones,Flores,Mariología,0.18%,5,
Advocaciones,Gozos,Mariología,0.14%,4,
Advocaciones,Guadalupe,Mariología,7.28%,207,
Advocaciones,Guápulo,Mariología,0.32%,9,
Advocaciones,Guía,Mariología,0.14%,4,
Advocaciones,Inmaculada,Mariología,17.97%,511,
Advocaciones,Lactación,Mariología,2.04%,58,
Advocaciones,Lajas,Mariología,0.07%,2,
Advocaciones,Loreto,Mariología,0.88%,25,
Advocaciones,Luz,Mariología,2.92%,83,
Advocaciones,Macana,Mariología,0.07%,2,
Advocaciones,Maravillas,Mariología,0.07%,2,
Advocaciones,Merced,Mariología,4.08%,116,
Advocaciones,Misericordia,Mariología,0.53%,15,
Advocaciones,Monguí,Mariología,0.49%,14,
Advocaciones,Monserrat,Mariología,0.49%,14,
Advocaciones,Nieves,Mariología,0.84%,24,
Advocaciones,Nuestra Señora de Trapana,Mariología,0.07%,2,
Advocaciones,Obediencia,Mariología,0.07%,2,
Advocaciones,Ocotlán,Mariología,0.46%,13,
Advocaciones,Oración,Mariología,0.91%,26,
Advocaciones,Otras devociones,Mariología,2.11%,60,
Advocaciones,Otras devociones arborícolas,Mariología,0.25%,7,
Advocaciones,Otras devociones triangulares,Mariología,1.41%,40,
Advocaciones,Pastora,Mariología,2.43%,69,
Advocaciones,Peña,Mariología,0.18%,5,
Advocaciones,Peregrina,Mariología,0.14%,4,
Advocaciones,Piedad,Mariología,3.45%,98,
Advocaciones,Pilar,Mariología,0.98%,28,
Advocaciones,Porciúncula,Mariología,0.39%,11,
Advocaciones,Protección,Mariología,0.60%,17,
Advocaciones,Providencia,Mariología,0.07%,2,
Advocaciones,Pueblo o Santa María la Mayor,Mariología,0.60%,17,
Advocaciones,Quinche,Mariología,0.11%,3,
Advocaciones,Refugio,Mariología,1.62%,46,
Advocaciones,Reina,Mariología,0.14%,4,
Advocaciones,Remedios,Mariología,0.39%,11,
Advocaciones,Rosa,Mariología,0.18%,5,
Advocaciones,Rosario,Mariología,7.14%,203,
Advocaciones,Rostros Virgen,Mariología,0.98%,28,
Advocaciones,Rotonda,Mariología,0.07%,2,
Advocaciones,Sabaya,Mariología,0.25%,7,
Advocaciones,Salud,Mariología,0.18%,5,
Advocaciones,Socorro,Mariología,0.39%,11,
Advocaciones,Soterraña,Mariología,0.11%,3,
Advocaciones,Sunturhuasi,Mariología,0.07%,2,
Advocaciones,Toledo,Mariología,0.07%,2,
Advocaciones,Trono o Silla,Mariología,0.42%,12,
Advocaciones,Valvanera,Mariología,0.49%,14,
Advocaciones,Virgen de los Ángeles,Mariología,0.74%,21,
Advocaciones,Virgen de los Apóstoles,Mariología,0.25%,7,
Advocaciones,Virgen de los Corazones,Mariología,0.07%,2,
Advocaciones,Virgen de Pomata,Mariología,1.20%,34,
Advocaciones,Virgen y niño,Mariología,6.26%,178,
Advocaciones,Zapopan,Mariología,0.07%,2,
