,pais,Participación,conteo,
Características particulares,Cruz Patriarcal,0.06%,3,
,Edad: Anciano,16.10%,825,
,Edad: Niñez,34.09%,1747,
,Edad: adolescencia-Juventud,13.60%,697,
,Edad: adulto,56.86%,2914,
,Escena: compuesta,11.71%,600,
,Escena: simple,51.94%,2662,
,Género Masculino/femenino,38.73%,1985,
,Género femenino,22.50%,1153,
,Género masculino,18.58%,952,
,Imagen dentro de la imagen,2.19%,112,
,Personaje colectivo,57.11%,2927,
,Personaje individual,8.51%,436,
,Personaje: contacto corporal,30.91%,1584,
,Personaje: desnudo parcial / total,25.11%,1287,
,Personajes: Profanos,1.52%,78,
,Personajes: Sagrados,50.13%,2569,
,Personajes: sagrados y profanos,15.67%,803,
,Presencia: animales,16.78%,860,
,Presencia: niños,34.01%,1743,
,,,,
,,,,
,,,,
,,,,
,,,,
