c1,c2,c3,,,v,
Coro Ángeles,Ángel, ,Ángeles,100.00%,23.0,
,Ángel de la Guarda, ,Ángeles,100.00%,35.0,
,Ángeles militares, ,Ángeles,100.00%,23.0,
,Ángeles músicos, ,Ángeles,100.00%,8.0,
Coro Arcángeles, , ,Ángeles,100.00%,2.0,
,Arcángeles Apócrifos,Apócrifos de las Escrituras,Ángeles,46.39%,45.0,
,,Apócrifos de otras Tradiciones,Ángeles,53.61%,52.0,
,Arcángeles de Palermo, ,Ángeles,100.00%,9.0,
,Gabriel, ,Ángeles,100.00%,45.0,
,Miguel, ,Ángeles,1.62%,3.0,
,,Balanza,Ángeles,8.11%,15.0,
,,Brazo abierto,Ángeles,3.78%,7.0,
,,Cadena,Ángeles,3.24%,6.0,
,,Cruz - estandarte,Ángeles,18.92%,35.0,
,,Escudo,Ángeles,28.11%,52.0,
,,Espada,Ángeles,7.57%,14.0,
,,Lanza,Ángeles,5.41%,10.0,
,,Otras representaciones,Ángeles,3.78%,7.0,
,,Palma,Ángeles,12.97%,24.0,
,,Rollo,Ángeles,6.49%,12.0,
,Rafael, ,Ángeles,100.00%,74.0,
Coro Virtudes,Ángeles Alegóricos y Virtudes, ,Ángeles,100.00%,15.0,
,Ángeles de la Pasión, ,Ángeles,100.00%,32.0,
Otros Coros, , ,Ángeles,100.00%,3.0,
,Dominaciones, ,Ángeles,100.00%,6.0,
,Potestades, ,Ángeles,100.00%,3.0,
,Principados, ,Ángeles,100.00%,1.0,
,Querubines, ,Ángeles,100.00%,3.0,
,Serafines, ,Ángeles,100.00%,10.0,
,,,,,,
,,,,,,
,,,,,,
