c1,c2,c3,,,v
Ciclo Vida Pública,Bautismo de Jesús, ,Cristológico,100.00%,42.0
Ciclo Vida Pública,Milagros cristológicos, ,Cristológico,3.70%,2.0
Ciclo Vida Pública,Milagros cristológicos,Bodas Canaán,Cristológico,20.37%,11.0
Ciclo Vida Pública,Milagros cristológicos,Multiplicación de los panes,Cristológico,16.67%,9.0
Ciclo Vida Pública,Milagros cristológicos,Otros milagros cristológicos,Cristológico,29.63%,16.0
Ciclo Vida Pública,Milagros cristológicos,Resurrección de Lázaro,Cristológico,24.07%,13.0
Ciclo Vida Pública,Milagros cristológicos,Salva a Pedro,Cristológico,5.56%,3.0
Ciclo Vida Pública,Predicación,Escenas con Pedro,Cristológico,11.84%,9.0
Ciclo Vida Pública,Predicación,Expulsión del templo,Cristológico,5.26%,4.0
Ciclo Vida Pública,Predicación,Hijo pródigo,Cristológico,17.11%,13.0
Ciclo Vida Pública,Predicación,"Jesús, marta y las mujeres",Cristológico,7.89%,6.0
Ciclo Vida Pública,Predicación,La samaritana,Cristológico,11.84%,9.0
Ciclo Vida Pública,Predicación,Magdalena y lavatorio,Cristológico,11.84%,9.0
Ciclo Vida Pública,Predicación,Mujer Adúltera,Cristológico,11.84%,9.0
Ciclo Vida Pública,Predicación,Otras escenas de predicación,Cristológico,22.37%,17.0
