,pais,Participación,conteo
Escenario,Celeste,2.19%,36.0
,Celeste / Escatológico,0.24%,4.0
,Celeste / Terrestre,9.55%,157.0
,Escenario Simbólico,0.73%,12.0
,Sin datos,8.88%,146.0
,Sin definir,10.16%,167.0
,Sin definir - Claroscuro,10.83%,178.0
,Terrestre / Ciudad - poblado,9.18%,151.0
,Terrestre / Interior casa-habitación,16.85%,277.0
,Terrestre / Interior templo,1.70%,28.0
,Terrestre / cortinaje,0.43%,7.0
,Terrestre / interior - paisaje,3.04%,50.0
,Terrestre / paisaje,25.49%,419.0
,Terrestre otro,0.73%,12.0
