,pais,Participación,conteo
Descriptor,Adoración,0.19%,1.0
,Adán y Eva,0.19%,1.0
,Alegoría,1.75%,9.0
,Alimento,0.78%,4.0
,Alma,0.58%,3.0
,Almas penitentes,0.78%,4.0
,Apóstoles,1.17%,6.0
,Arco,3.11%,16.0
,Arcángel,10.87%,56.0
,Arcángeles,10.10%,52.0
,Armadura,2.14%,11.0
,Astros,0.58%,3.0
,Aves,0.58%,3.0
,Banquete,0.19%,1.0
,Barco,0.19%,1.0
,Batalla,0.78%,4.0
,Bien/mal,7.96%,41.0
,Blanco y negro,0.19%,1.0
,Caballos,0.39%,2.0
,Cama,2.14%,11.0
,Camino/árboles,0.19%,1.0
,Carruaje,0.19%,1.0
,Cartela,11.26%,58.0
,Celebración,0.19%,1.0
,Cielo,38.64%,199.0
,Ciudad,4.85%,25.0
,Clero secular,0.58%,3.0
,Clérigo,6.99%,36.0
,Conquista española,0.19%,1.0
,Contemplación,0.19%,1.0
,Corazón,0.19%,1.0
,Corona,0.19%,1.0
,Coronación,0.39%,2.0
,Corte celestial,6.99%,36.0
,Corte de santos,32.23%,166.0
,Corte eclesiástica,1.36%,7.0
,Cristo,0.78%,4.0
,Crucifixión,1.17%,6.0
,Cruz,0.19%,1.0
,Cuerpo,0.58%,3.0
,De rodillas,8.35%,43.0
,Demonio,12.23%,63.0
,Desnudo,28.93%,149.0
,Devoción,0.39%,2.0
,Dios,3.69%,19.0
,Dominicos,2.72%,14.0
,Donante,0.39%,2.0
,Emblema,1.17%,6.0
,Eremita,0.19%,1.0
,Escatología,0.19%,1.0
,Escenas de la vida,0.78%,4.0
,Escudo de armas,0.78%,4.0
,Espejo,0.19%,1.0
,Espíritu Santo,0.78%,4.0
,Estandarte,0.58%,3.0
,Estigmas,0.19%,1.0
,Eucaristía,12.62%,65.0
,Evangelistas,1.36%,7.0
,Familia,0.19%,1.0
,Filacteria,17.28%,89.0
,Flores,1.75%,9.0
,Franciscano,2.52%,13.0
,Fresco,1.36%,7.0
,Fruto,0.39%,2.0
,Fuego,0.39%,2.0
,Hoguera,0.19%,1.0
,Hombre,3.30%,17.0
,Hombres,6.02%,31.0
,Hábito,0.19%,1.0
,Idólatras,0.19%,1.0
,Iglesia,0.78%,4.0
,Imagen en la imagen,1.94%,10.0
,Indígenas,0.58%,3.0
,Indígenas y caciques,1.17%,6.0
,Infierno,4.85%,25.0
,Instrumento martirio,0.19%,1.0
,Instrumento musical,5.44%,28.0
,Interior,2.72%,14.0
,Jardín,0.39%,2.0
,Jaula,0.19%,1.0
,Jesús,15.92%,82.0
,Juicio final,1.36%,7.0
,La buena y la mala muerte,0.97%,5.0
,Libro(s),1.94%,10.0
,Manos,0.19%,1.0
,Mar,0.39%,2.0
,Marco,0.58%,3.0
,Matrimonio,0.78%,4.0
,Milagro,0.39%,2.0
,Monarquía española,4.27%,22.0
,Muerte,16.50%,85.0
,Mujer,2.72%,14.0
,Mujeres,6.21%,32.0
,Mundo,1.17%,6.0
,Murallas,0.39%,2.0
,Música,2.14%,11.0
,Nacimiento,0.19%,1.0
,Naves,0.19%,1.0
,Niño Jesús,0.58%,3.0
,Niños,2.33%,12.0
,Nobles,0.19%,1.0
,Ofrenda,0.58%,3.0
,Ojo de la Providencia,1.17%,6.0
,Ojos vendados,0.78%,4.0
,Oración,12.04%,62.0
,Padre Eterno,0.19%,1.0
,Paisaje,7.96%,41.0
,Paraíso,1.55%,8.0
,Partitura,0.39%,2.0
,Pastor,0.39%,2.0
,Petición,6.99%,36.0
,Postrimerías,0.97%,5.0
,Procesión,0.58%,3.0
,Purgatorio,22.91%,118.0
,Querubín,0.19%,1.0
,Ramas,0.19%,1.0
,Redención,0.39%,2.0
,Reloj,0.39%,2.0
,Reloj de arena,0.39%,2.0
,Retrato,0.19%,1.0
,Rey,0.19%,1.0
,Rostro,0.78%,4.0
,Sacramentos,0.97%,5.0
,Sagrada familia,5.05%,26.0
,Santa,0.19%,1.0
,Santas,0.19%,1.0
,Santo,2.14%,11.0
,Santos,0.58%,3.0
,Sepulcro,1.94%,10.0
,Sillas,0.39%,2.0
,Sin datos,0.39%,2.0
,Sol y luna,1.36%,7.0
,Símbolos de la pasión,2.33%,12.0
,Tablas,0.58%,3.0
,Techo,1.17%,6.0
,Templo,0.19%,1.0
,Tierra,1.17%,6.0
,Torre,0.39%,2.0
,Traje colonial,7.57%,39.0
,Trinidad,45.44%,234.0
,Trono,2.91%,15.0
,Virgen,11.07%,57.0
,Virgen María,0.19%,1.0
,Virgen con niño,4.27%,22.0
,Ángel,1.94%,10.0
,Ángeles,56.12%,289.0
,Árbol,3.30%,17.0
,Árboles,0.19%,1.0
,Órdenes femeninas,0.58%,3.0
,Órdenes franciscanas,0.78%,4.0
,Órdenes religiosas,6.41%,33.0
