c1,c2,c3,,,v
Santas,Mártires mujeres, ,Santos,0.26%,1.0
,,Agueda,Santos,1.85%,7.0
,,Apolonia,Santos,2.64%,10.0
,,Bárbara,Santos,29.82%,113.0
,,Catalina,Santos,23.22%,88.0
,,Cecilia,Santos,3.43%,13.0
,,Cristina,Santos,1.32%,5.0
,,Dorotea,Santos,0.53%,2.0
,,Elena,Santos,1.06%,4.0
,,Inés,Santos,2.64%,10.0
,,Leocadia,Santos,1.06%,4.0
,,Lucía,Santos,8.44%,32.0
,,Margarita,Santos,2.11%,8.0
,,Orosia,Santos,2.11%,8.0
,,Otras Mártires,Santos,11.87%,45.0
,,Tecla,Santos,1.06%,4.0
,,Úrsula,Santos,6.60%,25.0
,Santas Fundadoras de órdenes,Clara de Asís,Santos,11.02%,40.0
,,Inés de Montepulciano,Santos,4.96%,18.0
,,Teresa,Santos,84.02%,305.0
,Santas mujeres, ,Santos,0.38%,2.0
,,Catalina de Ricci,Santos,0.77%,4.0
,,Catalina de Siena,Santos,20.00%,104.0
,,Gertrudis,Santos,10.38%,54.0
,,Inés de Asis,Santos,0.58%,3.0
,,Isabel de Hungría,Santos,2.12%,11.0
,,Margarita de Cortona,Santos,0.96%,5.0
,,María Magdalena de Pazzi,Santos,2.12%,11.0
,,Otras Santas,Santos,10.58%,55.0
,,Rosa de Lima,Santos,46.35%,241.0
,,Rosa de Viterbo,Santos,2.50%,13.0
,,Rosalía de Palermo,Santos,3.27%,17.0
,Santas mujeres Iglesia Primitiva,Magdalena,Santos,69.92%,86.0
,,María Egipciaca,Santos,17.07%,21.0
,,Mónica,Santos,12.20%,15.0
,,Otras santas Igl. Primitiva,Santos,0.81%,1.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
